car_id,car_model,car_make,city,car_time,cost,promo
117,Venture,Chevrolet,Burmakino,1660247135000,35.47,130.8
118,S80,Volvo,Bidbid,1647694836000,16.585,136.6
119,GT-R,Nissan,Seso,1638941731000,59.174,165.9
120,Altima,Nissan,Bamako,1650987986000,38.505,178.8
121,Regal,Buick,Moita,1660518700000,88.988,197.0
122,Escalade ESV,Cadillac,Maseru,1649843418000,31.665,169.4
123,Silverado 1500,Chevrolet,Västervik,1646830167000,65.942,171.5
124,E-Series,Ford,Gamping Lor,1637272814000,57.313,139.2
125,9000,Saab,Ainaro,1653292141000,18.699,157.4
126,Golf,Volkswagen,Thị Trấn Việt Quang,1654690216000,60.725,194.8
127,Montero,Mitsubishi,Sri Jayewardenepura Kotte,1663930176000,50.765,199.3
128,Bronco,Ford,Livadiya,1654277289000,10.882,185.1
129,GTI,Volkswagen,Cikaras,1662395741000,15.035,146.8
130,Eos,Volkswagen,Eystur,1642090250000,67.397,124.7
131,Town Car,Lincoln,Alicia,1657854465000,30.933,187.8
132,Five Hundred,Ford,Guaçuí,1649308082000,96.223,148.1
133,Camry,Toyota,Ubinskoye,1662101864000,56.034,167.6
134,XL7,Suzuki,Bobrovka,1646233029000,77.152,110.0
135,Sierra 3500,GMC,Vratsa,1638980487000,63.697,136.2
136,GX,Lexus,Zhitan,1647071523000,8.29,127.9
137,Roadmaster,Buick,Stockholm,1664864848000,42.16,127.6
138,Neon,Plymouth,Baomin,1638702056000,30.497,169.8
139,JX,Infiniti,Shankill,1662178178000,48.078,116.2
140,Sentra,Nissan,Donghai,1655653374000,2.407,127.6
141,NSX,Acura,Кондово,1659004416000,91.149,110.0
142,Torrent,Pontiac,Sukoanyar,1663289212000,46.703,125.0
143,MX-5,Mazda,Zeguo,1664507998000,72.047,134.1
144,LeSabre,Buick,Kaskinen,1660860057000,53.973,168.0
145,IS,Lexus,Maurisu,1637181269000,30.2,182.6
146,Nitro,Dodge,Tangqian,1647729394000,66.099,149.7
147,Silverado 3500,Chevrolet,Mungyeong,1647459657000,48.3,113.0
148,Explorer,Ford,Bingerville,1655664012000,68.504,157.5
149,DeVille,Cadillac,Tingping,1660858013000,38.83,191.7
150,Arnage,Bentley,El Mirador,1667681956000,41.349,189.6
151,Town & Country,Chrysler,Lichtenburg,1661942339000,50.059,182.3
152,Lucerne,Buick,Sidaraja,1647537161000,83.352,179.2
153,Dakota,Dodge,Yangping,1659414608000,43.111,139.6
154,Impreza,Subaru,Bukowiec,1661093221000,66.853,159.5
155,Sable,Mercury,Yuracyacu,1666725979000,70.114,137.8
156,B-Series,Mazda,San Juan de Mata,1649526501000,3.892,136.6
157,Seville,Cadillac,Stakhanov,1653191177000,47.362,192.8
158,Solara,Toyota,Zhouwang,1636822721000,48.521,197.3
159,Santa Fe,Hyundai,Baoyou,1659756599000,54.697,194.3
160,6000,Pontiac,Gurgurnica,1663441525000,29.99,197.8
161,iQ,Scion,Armopa,1651436114000,62.022,190.8
162,Vibe,Pontiac,Hengpi,1638398221000,71.487,194.0
163,Courier,Ford,Antou,1663936231000,3.866,155.6
164,Econoline E350,Ford,Shimabara,1642908802000,61.634,166.3
165,GTI,Volkswagen,Póvoa,1652004173000,45.923,116.7
166,LeSabre,Buick,Lom Sak,1651595283000,93.847,162.4
167,Sportage,Kia,Gnosjö,1666909702000,76.796,130.4
168,Cutlass Supreme,Oldsmobile,Alangalang,1641729721000,3.437,154.0
169,Lancer,Mitsubishi,Tsarychanka,1637968620000,2.91,155.8
170,CR-V,Honda,Gus’-Zheleznyy,1666380526000,4.464,198.7
171,3500,Chevrolet,Bełżec,1658798769000,71.84,155.5
172,Maxima,Nissan,Bongouanou,1657348022000,43.924,199.8
173,Eclipse,Mitsubishi,Pākpattan,1663908984000,2.254,139.6
174,Ranger,Ford,Matara,1655148563000,3.647,181.6
175,Caprice,Chevrolet,Huxi,1662155470000,26.55,132.9
176,Silhouette,Oldsmobile,Sopla,1648026709000,21.622,177.3
177,300,Chrysler,Ngarus,1636647733000,46.786,188.0
178,Caprice,Chevrolet,Gelin,1652274375000,84.023,135.2
179,RX-7,Mazda,Jetis,1651026268000,37.927,175.1
180,Prius,Toyota,Cái Nhum,1650129980000,38.244,189.9
181,F150,Ford,Cagnes-sur-Mer,1653986956000,77.123,158.7
182,Sequoia,Toyota,Makiv,1638158866000,74.498,175.6
183,Rogue,Nissan,Kuantan,1655119126000,4.828,144.0
184,Vandura G1500,GMC,Odessa,1656962526000,23.592,133.6
185,Express 1500,Chevrolet,Arinos,1663425476000,56.739,188.4
186,Dakota Club,Dodge,Pasirpengarayan,1662996633000,98.405,138.2
187,Mustang,Ford,Bakau,1648494782000,84.288,156.2
188,MKT,Lincoln,Windsor,1654197299000,67.063,148.2
189,Prizm,Geo,Siaya,1643732550000,74.354,154.2
190,Monte Carlo,Chevrolet,Saint George's,1662359370000,29.679,169.6
191,TT,Audi,Lyasny,1639030669000,28.68,140.6
192,3500 Club Coupe,GMC,Rocky Mountain House,1647310787000,94.951,147.8
193,IS,Lexus,Loga,1662139298000,11.628,114.5
194,550,BMW,Pawłowiczki,1659246035000,61.668,150.7
195,Sidekick,Suzuki,Iiyama,1644603944000,29.291,135.9
196,Quattroporte,Maserati,Boende,1643014611000,46.567,163.3
197,Impala,Chevrolet,Khorinsk,1667073654000,46.916,148.5
198,Firebird,Pontiac,Pöytyä,1655325604000,45.868,144.2
199,Town Car,Lincoln,Jinglongqiao,1644303109000,56.136,190.6
200,Suburban 1500,Chevrolet,Hejia,1650885529000,4.791,188.3
201,MPV,Mazda,Bitica,1663196600000,33.595,131.4
202,Ram,Dodge,Tulyushka,1640096029000,49.197,128.7
203,Phantom,Rolls-Royce,Northern Suburbs Mc,1637018351000,31.637,190.5
204,Corvette,Chevrolet,Al Munīrah,1638806365000,99.027,138.8
205,E-Class,Mercedes-Benz,Nuevitas,1658484699000,85.249,150.6
206,Prizm,Chevrolet,Kokubunji,1648049684000,90.217,187.7
207,Cobalt,Chevrolet,Kangmei,1636577469000,61.296,194.1
208,Esprit,Lotus,Taiping,1638234779000,79.367,169.2
209,Corvette,Chevrolet,Guéret,1636527378000,93.748,193.2
210,Impala,Chevrolet,Kuchurhan,1641288541000,98.29,153.3
211,9-7X,Saab,Acevedo,1638514447000,6.356,146.3
212,MX-5,Mazda,Huangjiazhai,1640650882000,78.458,110.3
213,S10,Chevrolet,Rabat,1646449261000,97.267,113.1
214,Maxima,Nissan,Billdal,1638888470000,71.066,186.7
215,E-Class,Mercedes-Benz,Krajan Tekung,1646015097000,5.973,138.0
216,Silverado 2500,Chevrolet,Shaxi,1646735262000,78.654,179.1
217,S90,Volvo,Sakaraha,1644571425000,24.804,152.4
218,Boxster,Porsche,Youxikou,1643812356000,9.841,132.9
219,4000CS Quattro,Audi,Toulon,1638203236000,55.689,165.0
220,C30,Volvo,Matou,1666934758000,73.725,169.0
221,Golf,Volkswagen,Barentu,1655143258000,98.165,157.0
222,Charger,Dodge,Plagiári,1643360335000,74.547,186.2
223,Tempo,Ford,Juan L. Lacaze,1666209635000,94.01,130.6
224,G,Infiniti,Sison,1636816257000,75.074,190.8
225,Gallardo,Lamborghini,Feteira Pequena,1643614236000,23.127,126.4
226,Torrent,Pontiac,Zelenodolsk,1646307771000,52.705,175.0
227,M-Class,Mercedes-Benz,Yanda Bayo,1658739647000,36.67,191.1
228,Breeze,Plymouth,Pledo,1637272247000,17.692,144.3
229,Continental Mark VII,Lincoln,Dapchi,1656219310000,3.195,191.3
230,Mystique,Mercury,Pingxiang,1652553647000,37.512,131.6
231,Yukon XL 2500,GMC,Tomdibuloq,1646768370000,21.058,152.4
232,Accent,Hyundai,Zhangping,1645766672000,15.35,193.9
233,B2000,Mazda,Selmes,1661578561000,4.351,128.6
234,Montero Sport,Mitsubishi,Ush-Tyube,1638033013000,49.446,180.5
235,Mountaineer,Mercury,København,1662937423000,11.126,197.4
236,9-7X,Saab,Wantian,1640205916000,22.189,148.8
237,Sidekick,Suzuki,Panguruan,1642147166000,21.033,115.7
238,RX-8,Mazda,Faeanak Dua,1666926774000,87.77,117.3
239,8 Series,BMW,San Rafael,1654616605000,86.308,148.0
240,XJ Series,Jaguar,Furongqiao,1640818226000,20.78,187.4
241,tC,Scion,Chuanxi,1649564017000,27.489,153.9
242,Endeavor,Mitsubishi,Minokamo,1651140625000,72.035,138.0
243,Vitara,Suzuki,Bourg-en-Bresse,1637791842000,61.911,149.0
244,Sorento,Kia,Sentul,1652856370000,57.423,119.4
245,Quattro,Audi,Bangilan,1646657980000,66.416,198.7
246,Prowler,Plymouth,Punata,1642301662000,5.15,131.5
247,Outback,Subaru,Moryń,1636839913000,70.981,188.6
248,Talon,Eagle,Kirove,1637276309000,42.969,122.0
249,7 Series,BMW,Danbury,1662639300000,4.637,152.7
250,4Runner,Toyota,Obiaruku Quarters,1658085842000,50.488,158.4
251,D250 Club,Dodge,Yezhu,1645556930000,94.363,119.2
252,MDX,Acura,Socorro,1646904371000,82.943,148.2
253,Sidekick,Suzuki,Thị Trấn Nga Sơn,1659209975000,98.442,138.1
254,Jimmy,GMC,Carcavelos,1659136853000,53.529,116.9
255,Sequoia,Toyota,Huangyuan Chengguanzhen,1643160564000,91.874,185.4
256,Elantra,Hyundai,Xinli,1656468993000,24.438,145.6
257,CLK-Class,Mercedes-Benz,Presidencia Roque Sáenz Peña,1662454609000,9.747,156.0
258,V8,Audi,Gressier,1652539170000,58.698,125.9
259,A6,Audi,Beringovskiy,1656783339000,56.85,178.1
260,MDX,Acura,Huskvarna,1643641788000,26.738,135.1
261,Panamera,Porsche,Notre Dame,1652969776000,48.097,151.3
262,Commander,Jeep,Lille,1665186959000,18.389,187.9
263,M-Class,Mercedes-Benz,Byuravan,1651984152000,50.865,189.8
264,Land Cruiser,Toyota,San Sebastian,1651593342000,37.653,187.2
265,H1,Hummer,Beixiaoying,1652234869000,7.236,160.6
266,Pajero,Mitsubishi,Bradenton,1637425340000,90.294,199.4
267,3500 Club Coupe,GMC,Antimácheia,1642901215000,60.585,177.3
268,Avalon,Toyota,Colonia Neuland,1644356816000,60.491,191.2
269,D150 Club,Dodge,Banyuresmi,1656168215000,41.598,126.0
270,Torrent,Pontiac,Nkandla,1645088378000,77.34,149.6
271,RL,Acura,Oibioin,1663454707000,45.781,145.1
272,Loyale,Subaru,Misau,1665793349000,41.416,181.5
273,Ram 3500,Dodge,Mulanay,1638415099000,48.32,111.6
274,E-Series,Ford,Schieren,1663669387000,82.471,180.2
275,MINI,MINI,Smederevo,1639522328000,9.641,156.3
276,C8 Laviolette,Spyker,Tateyama,1657476018000,71.981,140.6
277,2500,GMC,Pende,1661570076000,16.03,118.4
278,Avanti,Studebaker,Hamburg,1654209870000,10.74,155.4
279,Suburban 1500,GMC,Daqin Tal,1666355893000,7.23,136.1
280,Transit Connect,Ford,Capela,1641224537000,46.871,181.9
281,Mark VII,Lincoln,Watunggong,1643346123000,12.551,145.4
282,Cayenne,Porsche,Zhamog,1646224009000,3.605,176.6
283,Armada,Nissan,Limbuhan,1644324265000,84.51,157.7
284,M3,BMW,Laocheng,1657648395000,23.805,112.3
285,Passat,Volkswagen,Masaran,1661359008000,79.281,120.5
286,Q7,Audi,Xianyi,1661332947000,91.149,131.1
287,S-Type,Jaguar,Iiyama,1648695301000,73.275,121.4
288,Boxster,Porsche,Zhuanqukou,1666624206000,26.721,189.6
289,MKZ,Lincoln,Gjoa Haven,1661706591000,39.097,199.6
290,Rogue,Nissan,Dukuhsia,1645103707000,32.766,168.0
291,RAV4,Toyota,Rushanzhai,1640541976000,15.879,187.4
292,2500,GMC,Rostokino,1637801936000,41.155,197.2
293,Express 2500,Chevrolet,Skole,1663026738000,2.309,187.9
294,S80,Volvo,Canguaretama,1642014638000,58.376,138.6
295,S-Class,Mercedes-Benz,Yangxi,1650096799000,65.705,189.7
296,S80,Volvo,Catanduva,1663452761000,42.125,139.3
297,Highlander,Toyota,Majāz al Bāb,1659606445000,24.868,180.1
298,XC90,Volvo,Hushi,1664144986000,12.575,145.4
299,Continental,Lincoln,Salvaleón de Higüey,1648526733000,41.574,180.2
300,Breeze,Plymouth,Kampunganyar,1661886890000,30.782,172.6
301,Chariot,Mitsubishi,Baki,1652469144000,64.891,137.9
302,Vanquish S,Aston Martin,Zabaykal’sk,1641533641000,81.417,199.1
303,Escort,Ford,Huangtan,1660512846000,75.761,142.4
304,Prelude,Honda,Castellon De La Plana/Castello De La Pla,1644322862000,60.508,159.2
305,Integra,Acura,Wosai,1663884362000,89.205,121.8
306,ES,Lexus,Pingxi,1637342424000,64.218,184.6
307,LeMans,Pontiac,Soisy-sous-Montmorency,1651508153000,74.008,179.5
308,H3,Hummer,Ngroto,1647690543000,7.067,182.2
309,GTO,Mitsubishi,Carolina,1637092532000,29.638,147.5
310,S-Class,Mercedes-Benz,Nangalimang,1667700185000,77.48,199.7
311,MX-5,Mazda,Bayasgalant,1658545776000,36.863,191.6
312,PT Cruiser,Chrysler,Dami,1640630861000,13.917,162.1
313,GTI,Volkswagen,Mantar,1640500677000,74.111,192.1
314,Canyon,GMC,Orikhiv,1645726431000,98.734,186.6
315,E350,Ford,Dongkeng,1643467163000,46.546,191.4
316,Mustang,Ford,Zhanghuban,1649179557000,52.841,197.7
317,Yukon,GMC,Independencia,1655639113000,84.069,157.9
318,G,Infiniti,Pordapor Barat,1641806481000,76.157,124.4
319,Sunbird,Pontiac,Studená,1641278335000,57.257,151.6
320,Achieva,Oldsmobile,Cholpon-Ata,1648740043000,70.713,141.4
321,SL-Class,Mercedes-Benz,Punata,1649207767000,77.982,118.6
322,Tempest,Pontiac,Tongzhong,1652813445000,41.703,131.0
323,5000S,Audi,Namyangju,1658263467000,11.161,157.5
324,Ranger,Ford,La Romana,1652923220000,78.101,112.9
325,Cutlass Supreme,Oldsmobile,Papelón,1640159981000,58.271,182.5
326,Model S,Tesla,Juazeiro do Norte,1640065731000,92.064,189.1
327,Passat,Volkswagen,Sishui,1666734440000,38.563,172.5
328,6 Series,BMW,Caiyuan,1664074160000,35.993,187.6
329,Mazdaspeed6,Mazda,Pisang,1657930850000,7.09,115.1
330,Avalon,Toyota,Chenzui,1657500512000,32.102,136.6
331,MKT,Lincoln,Tongle,1651660670000,19.745,171.6
332,V90,Volvo,Fatubia,1651259256000,51.357,191.9
333,Chariot,Mitsubishi,Ḩablah,1643665703000,16.156,134.4
334,Rabbit,Volkswagen,Khŭjand,1655688430000,18.822,133.0
335,Sigma,Mitsubishi,Ebu,1657954293000,22.103,145.2
336,Golf,Volkswagen,Kolno,1666090017000,41.438,190.9
337,Envoy,GMC,Swift Current,1655040386000,23.217,147.6
338,Millenia,Mazda,Prámanta,1664736680000,57.17,172.8
339,5 Series,BMW,San Sebastián,1648501410000,86.018,153.0
340,Ascender,Isuzu,Allentown,1660343215000,8.33,116.1
341,Grand Prix,Pontiac,High River,1648773169000,83.089,176.3
342,Liberty,Jeep,Lunang,1639647453000,28.525,153.5
343,240SX,Nissan,Fengcheng,1664894301000,20.62,166.0
344,Riviera,Buick,Parajara,1655277546000,93.733,148.7
345,Trans Sport,Pontiac,Balud,1646521294000,30.883,118.1
346,Expo,Mitsubishi,Shancheng,1648115876000,84.789,142.2
347,Grand Cherokee,Jeep,Yuchi,1644053903000,3.357,192.7
348,H1,Hummer,Fengzhou,1658220920000,26.44,139.1
349,Jetta,Volkswagen,Embu,1657147591000,9.311,197.4
350,NSX,Acura,Oratorio,1641117472000,13.005,133.0
351,Rodeo,Isuzu,Moscow,1659357504000,87.095,178.3
352,MX-5,Mazda,Rotterdam postbusnummers,1647682212000,47.229,165.7
353,Mustang,Ford,El Real,1645054534000,28.349,161.3
354,MX-6,Mazda,Tanjung Pandan,1661292070000,37.547,141.9
355,Dakota Club,Dodge,Paninggaran,1665836880000,73.724,198.4
356,Leone,Subaru,Laborie,1643220396000,68.946,146.2
357,SL-Class,Mercedes-Benz,Taohua,1643957297000,38.485,110.5
358,A8,Audi,Yubileyny,1663003035000,48.962,188.1
359,Sonoma Club Coupe,GMC,Margotuhu Kidul,1650041978000,72.492,142.3
360,PT Cruiser,Chrysler,Turar Ryskulov,1642272834000,21.52,175.5
361,Swift,Suzuki,Jiangwei,1659675494000,13.544,177.0
362,Vitara,Suzuki,Trujillo,1664329461000,98.019,169.9
363,F150,Ford,Los Angeles,1665678109000,77.065,112.9
364,i-Series,Isuzu,Kujang,1640569139000,5.56,167.6
365,Thunderbird,Ford,Sorang,1654527023000,7.102,183.4
366,Concorde,Chrysler,Nuits-Saint-Georges,1656928119000,37.366,177.9
367,612 Scaglietti,Ferrari,El Cobre,1646857140000,46.171,194.6
368,Ram 1500,Dodge,Ciyun,1660528507000,51.127,139.2
369,Caravan,Dodge,Guwoterus,1639669261000,39.084,112.1
370,Park Avenue,Buick,Hŭkkyo-ri,1645573139000,28.47,189.7
371,F250,Ford,Yelabuga,1664115618000,87.199,152.1
372,Talon,Eagle,Qukuhu,1661793401000,22.922,166.3
373,LR3,Land Rover,Bétérou,1643854550000,1.228,160.1
374,Jetta,Volkswagen,Liangting,1656895340000,37.77,180.0
375,V50,Volvo,El Bolsón,1665954859000,63.369,118.4
376,SC,Lexus,Jiaoshanhe,1667207583000,40.424,171.4
377,Tribute,Mazda,Dalazi,1646531016000,57.517,120.8
378,Econoline E350,Ford,Bariri,1643342697000,80.227,136.4
379,Prelude,Honda,Rūdiškės,1656295241000,75.965,189.3
380,F450,Ford,Batukuta,1666761386000,70.383,199.5
381,V70,Volvo,Nuštar,1640976265000,62.929,139.4
382,LeSabre,Buick,Vohipaho,1660952823000,39.848,195.1
383,Journey,Dodge,Huangqiang,1645227470000,49.037,193.9
384,Sequoia,Toyota,Xinan,1659720038000,52.185,173.7
385,Sprinter 3500,Mercedes-Benz,Jungkat Selatan,1648675793000,77.869,119.8
386,HHR,Chevrolet,Kondangrege,1667000418000,94.385,183.0
387,Passport,Honda,Mafra,1663038449000,16.586,114.3
388,LeSabre,Buick,Ivyanyets,1638860684000,9.253,147.2
389,Town Car,Lincoln,Vrdy,1656938224000,27.581,175.7
390,V8 Vantage S,Aston Martin,Songjiang,1638044662000,45.428,151.7
391,Suburban 2500,Chevrolet,Senglea,1651910021000,16.444,143.4
392,Grand Voyager,Plymouth,Gorki Vtoryye,1666681348000,94.202,147.3
393,Taurus,Ford,Mealhada,1639143785000,92.15,135.4
394,E150,Ford,Mamboma,1652230880000,37.861,145.0
395,G-Class,Mercedes-Benz,Shidu,1638465787000,39.078,166.8
396,Avalon,Toyota,Bauang,1640418004000,66.054,167.6
397,Elan,Lotus,Yuxi,1657089266000,65.671,183.3
398,Loyale,Subaru,Plato,1645581866000,62.322,191.8
399,9-5,Saab,Ciudian,1653517112000,63.546,148.3
400,Murano,Nissan,Tembol,1639518871000,42.208,154.2
401,ES,Lexus,Teeli,1645705061000,58.865,111.6
402,Exige,Lotus,Hitoyoshi,1658038919000,71.771,172.0
403,Impala SS,Chevrolet,Moryń,1666453330000,33.906,131.1
404,Truck,Mitsubishi,Piskivka,1643108404000,68.406,185.6
405,Camry Hybrid,Toyota,Canchaque,1636692549000,71.887,171.4
406,Grand Caravan,Dodge,Hässleholm,1653096084000,74.16,185.6
407,E-Series,Ford,Dharān Bāzār,1642639361000,52.896,149.6
408,Tacoma Xtra,Toyota,Rontu,1660063535000,13.013,177.0
409,Safari,GMC,Kuncen,1661896935000,98.841,187.4
410,Leone,Subaru,Ōtsuchi,1638045464000,75.334,116.6
411,Camry Hybrid,Toyota,Heishui,1657700110000,69.389,179.1
412,Talon,Eagle,Detroit,1646665786000,67.251,198.0
413,i-290,Isuzu,Kodra,1663819386000,73.949,196.6
414,Civic GX,Honda,Tomice,1663508603000,63.706,147.6
415,Grand Marquis,Mercury,Mikrókampos,1642113926000,91.344,141.8
416,Element,Honda,Yam,1642426891000,63.001,189.3
417,745,BMW,Pļaviņas,1643445841000,59.512,152.1
418,Monte Carlo,Chevrolet,Sūq al Khamīs,1640037648000,15.175,130.8
419,LeSabre,Buick,Donghai,1646812561000,71.161,161.9
